EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;
37,7778;0;0,755555556;0,6;6;20;;;;;;;;
37,9167;0;0,758333333;0,5;4;20;;;;;;;;
38,0556;0;0,761111111;0,6;12;10;;;;;;;;
38,4722;0;0,769444444;0,5;4;10;;;;;;;;
38,4722;0;0,769444444;0,6;10;10;;;;;;;;
38,4722;0;0,769444444;0,6;4;20;;;;;;;;
38,4722;0;0,769444444;0,6;4;30;;;;;;;;
38,4722;0;0,769444444;0,6;4;40;;;;;;;;
38,4722;0;0,769444444;0,6;4;50;;;;;;;;
38,4722;0;0,769444444;0,6;4;60;;;;;;;;
38,6111;0;0,772222222;0,6;8;10;;;;;;;;
38,75;0;0,775;0,6;6;10;;;;;;;;
38,8889;0;0,777777778;0,6;4;10;;;;;;;;
8,4722;0,002777778;0,166666667;0,2;12;10;;;;;;;;
10,1389;0,002777778;0,2;0,2;10;10;;;;;;;;
10,8333;0,002777778;0,213888889;0,3;8;40;;;;;;;;
14,8611;0,002777778;0,294444444;0,4;12;40;;;;;;;;
15,1389;0,002777778;0,3;0,3;6;40;;;;;;;;
16,25;0,002777778;0,322222222;0,3;6;30;;;;;;;;
16,8056;0,002777778;0,333333333;0,4;10;50;;;;;;;;
24,3056;0,002777778;0,483333333;0,3;4;60;;;;;;;;
12,0833;0,005555556;0,236111111;0,3;8;30;;;;;;;;
14,1667;0,005555556;0,277777778;0,4;12;50;;;;;;;;
14,5833;0,005555556;0,286111111;0,3;6;50;;;;;;;;
16,5278;0,005555556;0,325;0,4;10;60;;;;;;;;
10,8333;0,008333333;0,208333333;0,2;4;30;;;;;;;;
14,1667;0,008333333;0,275;0,3;6;60;;;;;;;;
10,2778;0,011111111;0,194444444;0,3;12;20;;;;;;;;
13,8889;0,011111111;0,266666667;0,4;12;60;;;;;;;;
8,8889;0,016666667;0,161111111;0,3;10;30;;;;;;;;
10,6944;0,016666667;0,197222222;0,3;8;50;;;;;;;;
8,6111;0,019444444;0,152777778;0,2;6;20;;;;;;;;
10,2778;0,019444444;0,186111111;0,2;4;40;;;;;;;;
8,8889;0,025;0,152777778;0,3;10;40;;;;;;;;
8,0556;0,027777778;0,133333333;0,1;4;10;;;;;;;;
10;0,027777778;0,172222222;0,2;4;50;;;;;;;;
10,6944;0,027777778;0,186111111;0,3;8;60;;;;;;;;
8,75;0,044444444;0,130555556;0,3;12;30;;;;;;;;
6,9444;0,047222222;0,091666667;0,2;8;20;;;;;;;;
9,0278;0,055555556;0,125;0,3;10;50;;;;;;;;
8,3333;0,058333333;0,108333333;0,2;6;30;;;;;;;;
10,9722;0,061111111;0,158333333;0,2;4;60;;;;;;;;
9,1667;0,066666667;0,116666667;0,3;10;60;;;;;;;;
7,2222;0,069444444;0,075;0,1;6;10;;;;;;;;
9,0278;0,083333333;0,097222222;0,3;12;40;;;;;;;;
9,5833;0,111111111;0,080555556;0,2;6;40;;;;;;;;
8,75;0,119444444;0,055555556;0,1;8;10;;;;;;;;
10,2778;0,119444444;0,086111111;0,3;12;50;;;;;;;;
9,3056;0,122222222;0,063888889;0,2;10;20;;;;;;;;
10,5556;0,15;0,061111111;0,2;8;30;;;;;;;;
11,1111;0,15;0,072222222;0,2;6;50;;;;;;;;
11,9444;0,158333333;0,080555556;0,3;12;60;;;;;;;;
10,9722;0,163888889;0,055555556;0,2;12;20;;;;;;;;
13,3333;0,197222222;0,069444444;0,2;6;60;;;;;;;;
12,7778;0,216666667;0,038888889;0,1;10;10;;;;;;;;
14,3056;0,230555556;0,055555556;0,1;4;20;;;;;;;;
13,8889;0,238888889;0,038888889;0,2;8;40;;;;;;;;
13,75;0,247222222;0,027777778;0,2;10;30;;;;;;;;
15,2778;0,283333333;0,022222222;0,1;12;10;;;;;;;;
16,1111;0,288888889;0,033333333;0,2;8;50;;;;;;;;
17,0833;0,322222222;0,019444444;0,2;10;40;;;;;;;;
17,3611;0,322222222;0,025;0,2;12;30;;;;;;;;
18,0556;0,327777778;0,033333333;0,2;8;60;;;;;;;;
20,9722;0,402777778;0,016666667;0,2;10;50;;;;;;;;
21,5278;0,419444444;0,011111111;0,1;6;20;;;;;;;;
22,6389;0,436111111;0,016666667;0,1;4;30;;;;;;;;
24,0278;0,461111111;0,019444444;0,2;12;40;;;;;;;;
24,0278;0,466666667;0,013888889;0,2;10;60;;;;;;;;
28,0556;0,547222222;0,013888889;0,1;4;40;;;;;;;;
28,75;0,558333333;0,016666667;0,2;12;50;;;;;;;;
28,3333;0,561111111;0,005555556;0,1;8;20;;;;;;;;
30,4167;0,602777778;0,005555556;0,2;12;60;;;;;;;;
31,1111;0,613888889;0,008333333;0,1;4;50;;;;;;;;
33,0556;0,647222222;0,013888889;0,1;6;30;;;;;;;;
33,75;0,669444444;0,005555556;0,1;4;60;;;;;;;;
34,4444;0,683333333;0,005555556;0,1;10;20;;;;;;;;
39,0278;0,772222222;0,008333333;0,1;6;40;;;;;;;;
39,3056;0,777777778;0,008333333;0,1;8;30;;;;;;;;
40,2778;0,802777778;0,002777778;0,1;12;20;;;;;;;;
