EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount;;;;;;;;;;;
9,4444;0;0,188888889;0,04;12;10;12;50;4;;;;;;;;;;;
9,5833;0;0,191666667;0,02;12;50;4;30;4;;;;;;;;;;;
9,5833;0;0,191666667;0,04;12;10;12;30;4;;;;;;;;;;;
9,7222;0;0,194444444;0,02;12;30;4;30;4;;;;;;;;;;;
9,8611;0;0,197222222;0,02;8;10;8;50;8;;;;;;;;;;;
9,8611;0;0,197222222;0,03;8;10;12;50;4;;;;;;;;;;;
9,8611;0;0,197222222;0,04;12;10;12;30;8;;;;;;;;;;;
9,8611;0;0,197222222;0,04;12;10;12;50;8;;;;;;;;;;;
10;0;0,2;0,02;8;50;4;50;4;;;;;;;;;;;
10;0;0,2;0,03;8;10;8;50;4;;;;;;;;;;;
10;0;0,2;0,04;12;10;8;50;8;;;;;;;;;;;
10,1389;0;0,202777778;0,02;12;50;4;50;8;;;;;;;;;;;
10,1389;0;0,202777778;0,02;12;50;8;30;12;;;;;;;;;;;
10,2778;0;0,205555556;0,02;8;10;12;30;8;;;;;;;;;;;
10,2778;0;0,205555556;0,02;8;30;4;50;4;;;;;;;;;;;
10,2778;0;0,205555556;0,02;12;30;4;50;8;;;;;;;;;;;
10,2778;0;0,205555556;0,02;12;30;8;30;12;;;;;;;;;;;
10,2778;0;0,205555556;0,03;12;50;4;50;4;;;;;;;;;;;
10,2778;0;0,205555556;0,03;12;50;8;30;12;;;;;;;;;;;
10,2778;0;0,205555556;0,04;12;10;8;30;4;;;;;;;;;;;
10,2778;0;0,205555556;0,04;12;50;8;30;12;;;;;;;;;;;
10,4167;0;0,208333333;0,03;8;10;12;30;4;;;;;;;;;;;
10,4167;0;0,208333333;0,03;12;30;4;50;4;;;;;;;;;;;
10,4167;0;0,208333333;0,03;12;30;8;30;12;;;;;;;;;;;
10,4167;0;0,208333333;0,04;12;30;8;30;12;;;;;;;;;;;
10,6944;0;0,213888889;0,02;8;50;12;50;12;;;;;;;;;;;
10,6944;0;0,213888889;0,03;8;10;8;30;4;;;;;;;;;;;
10,6944;0;0,213888889;0,03;8;10;12;50;8;;;;;;;;;;;
10,6944;0;0,213888889;0,04;12;10;8;30;8;;;;;;;;;;;
10,9722;0;0,219444444;0,02;8;10;8;30;8;;;;;;;;;;;
10,9722;0;0,219444444;0,02;8;30;12;50;12;;;;;;;;;;;
10,9722;0;0,219444444;0,03;8;50;12;50;12;;;;;;;;;;;
11,1111;0;0,222222222;0,02;8;30;4;30;4;;;;;;;;;;;
11,1111;0;0,222222222;0,02;8;50;4;30;4;;;;;;;;;;;
11,1111;0;0,222222222;0,03;8;10;8;50;8;;;;;;;;;;;
11,25;0;0,225;0,03;8;30;12;50;12;;;;;;;;;;;
11,25;0;0,225;0,03;12;50;4;50;8;;;;;;;;;;;
11,3889;0;0,227777778;0,03;12;30;4;50;8;;;;;;;;;;;
11,3889;0;0,227777778;0,04;8;50;12;50;12;;;;;;;;;;;
11,5278;0;0,230555556;0,02;12;10;4;50;4;;;;;;;;;;;
11,5278;0;0,230555556;0,02;8;50;8;50;12;;;;;;;;;;;
11,5278;0;0,230555556;0,03;8;10;12;30;8;;;;;;;;;;;
11,6667;0;0,233333333;0,02;8;30;8;50;12;;;;;;;;;;;
11,6667;0;0,233333333;0,03;8;50;8;50;12;;;;;;;;;;;
11,6667;0;0,233333333;0,04;8;30;12;50;12;;;;;;;;;;;
11,8056;0;0,236111111;0,02;8;50;4;50;8;;;;;;;;;;;
11,8056;0;0,236111111;0,03;8;30;8;50;12;;;;;;;;;;;
11,9444;0;0,238888889;0,03;8;10;8;30;8;;;;;;;;;;;
11,9444;0;0,238888889;0,04;8;10;12;50;4;;;;;;;;;;;
11,9444;0;0,238888889;0,04;8;50;8;50;12;;;;;;;;;;;
12,0833;0;0,241666667;0,02;12;10;4;30;4;;;;;;;;;;;
12,0833;0;0,241666667;0,02;12;10;12;50;12;;;;;;;;;;;
12,0833;0;0,241666667;0,02;8;30;4;50;8;;;;;;;;;;;
12,0833;0;0,241666667;0,02;8;30;12;30;12;;;;;;;;;;;
12,0833;0;0,241666667;0,02;8;50;12;30;12;;;;;;;;;;;
12,0833;0;0,241666667;0,03;12;30;4;30;4;;;;;;;;;;;
12,0833;0;0,241666667;0,03;12;50;4;30;4;;;;;;;;;;;
12,0833;0;0,241666667;0,04;8;30;8;50;12;;;;;;;;;;;
