EER;FMR;FNMR;THR;GDTHRGAngTHR;;;;;;;;;
38,4722;0;0,769444444;50;6;20;;;;;;;;
38,4722;0;0,769444444;50;4;50;;;;;;;;
38,4722;0;0,769444444;60;10;30;;;;;;;;
38,4722;0;0,769444444;60;6;50;;;;;;;;
38,6111;0;0,772222222;50;4;30;;;;;;;;
38,6111;0;0,772222222;50;4;40;;;;;;;;
38,6111;0;0,772222222;60;8;30;;;;;;;;
38,6111;0;0,772222222;60;6;60;;;;;;;;
38,75;0;0,775;50;4;20;;;;;;;;
38,75;0;0,775;60;4;40;;;;;;;;
38,75;0;0,775;60;6;40;;;;;;;;
38,75;0;0,775;60;4;50;;;;;;;;
38,8889;0;0,777777778;40;4;10;;;;;;;;
38,8889;0;0,777777778;50;4;10;;;;;;;;
38,8889;0;0,777777778;50;6;10;;;;;;;;
38,8889;0;0,777777778;50;8;10;;;;;;;;
38,8889;0;0,777777778;50;10;10;;;;;;;;
38,8889;0;0,777777778;60;4;10;;;;;;;;
38,8889;0;0,777777778;60;6;10;;;;;;;;
38,8889;0;0,777777778;60;8;10;;;;;;;;
38,8889;0;0,777777778;60;10;10;;;;;;;;
38,8889;0;0,777777778;60;4;20;;;;;;;;
38,8889;0;0,777777778;60;6;20;;;;;;;;
38,8889;0;0,777777778;60;8;20;;;;;;;;
38,8889;0;0,777777778;60;10;20;;;;;;;;
38,8889;0;0,777777778;60;4;30;;;;;;;;
38,8889;0;0,777777778;60;6;30;;;;;;;;
38,8889;0;0,777777778;60;4;60;;;;;;;;
24,5833;0,002777778;0,488888889;20;6;20;;;;;;;;
25,4167;0,002777778;0,505555556;10;8;10;;;;;;;;
26,6667;0,002777778;0,530555556;30;10;20;;;;;;;;
27,5;0,002777778;0,547222222;30;6;30;;;;;;;;
27,6389;0,002777778;0,55;20;4;20;;;;;;;;
29,0278;0,002777778;0,577777778;40;8;40;;;;;;;;
29,1667;0,002777778;0,580555556;40;6;60;;;;;;;;
31,1111;0,002777778;0,619444444;40;6;50;;;;;;;;
32,0833;0,002777778;0,638888889;40;6;40;;;;;;;;
23,0556;0,005555556;0,455555556;20;8;20;;;;;;;;
25,8333;0,005555556;0,511111111;30;8;30;;;;;;;;
27,7778;0,005555556;0,55;40;8;50;;;;;;;;
25,1389;0,008333333;0,494444444;10;10;10;;;;;;;;
27,5;0,008333333;0,541666667;40;10;40;;;;;;;;
27,9167;0,008333333;0,55;30;4;60;;;;;;;;
22,5;0,011111111;0,438888889;20;10;20;;;;;;;;
24,7222;0,013888889;0,480555556;30;10;30;;;;;;;;
25,6944;0,013888889;0,5;20;4;30;;;;;;;;
25,8333;0,013888889;0,502777778;30;6;40;;;;;;;;
26,25;0,013888889;0,511111111;40;10;50;;;;;;;;
27,2222;0,016666667;0,527777778;40;8;60;;;;;;;;
24,4444;0,022222222;0,466666667;30;8;40;;;;;;;;
22,6389;0,030555556;0,422222222;20;6;30;;;;;;;;
25,9722;0,036111111;0,483333333;30;6;50;;;;;;;;
24,0278;0,041666667;0,438888889;10;4;20;;;;;;;;
24,1667;0,044444444;0,438888889;20;4;40;;;;;;;;
26,5278;0,047222222;0,483333333;40;10;60;;;;;;;;
24,5833;0,05;0,441666667;30;10;40;;;;;;;;
22,9167;0,063888889;0,394444444;20;8;30;;;;;;;;
25,4167;0,069444444;0,438888889;30;8;50;;;;;;;;
22,5;0,077777778;0,372222222;10;6;20;;;;;;;;
27,2222;0,086111111;0,458333333;30;6;60;;;;;;;;
23,0556;0,088888889;0,372222222;20;10;30;;;;;;;;
21,5278;0,094444444;0,336111111;10;8;20;;;;;;;;
24,8611;0,097222222;0,4;30;10;50;;;;;;;;
25,2778;0,1;0,405555556;20;4;50;;;;;;;;
24,5833;0,122222222;0,369444444;20;6;40;;;;;;;;
23,6111;0,130555556;0,341666667;10;4;30;;;;;;;;
26,9444;0,144444444;0,394444444;30;8;60;;;;;;;;
22,6389;0,15;0,302777778;10;10;20;;;;;;;;
26,25;0,169444444;0,355555556;20;4;60;;;;;;;;
26,1111;0,180555556;0,341666667;20;8;40;;;;;;;;
27,2222;0,188888889;0,355555556;30;10;60;;;;;;;;
25,5556;0,202777778;0,308333333;20;6;50;;;;;;;;
27,6389;0,233333333;0,319444444;20;10;40;;;;;;;;
26,3889;0,255555556;0,272222222;10;6;30;;;;;;;;
27,5;0,280555556;0,269444444;10;4;40;;;;;;;;
28,1944;0,305555556;0,258333333;20;6;60;;;;;;;;
29,8611;0,313888889;0,283333333;20;8;50;;;;;;;;
29,1667;0,338888889;0,244444444;10;8;30;;;;;;;;
29,3056;0,355555556;0,230555556;20;10;50;;;;;;;;
30,6944;0,402777778;0,211111111;10;10;30;;;;;;;;
30,4167;0,416666667;0,191666667;10;6;40;;;;;;;;
31,3889;0,433333333;0,194444444;10;4;50;;;;;;;;
32,7778;0,433333333;0,222222222;20;8;60;;;;;;;;
31,9444;0,491666667;0,147222222;10;8;40;;;;;;;;
34,4444;0,494444444;0,194444444;20;10;60;;;;;;;;
34,4444;0,536111111;0,152777778;10;4;60;;;;;;;;
33,75;0,55;0,125;10;6;50;;;;;;;;
34,0278;0,555555556;0,125;10;10;40;;;;;;;;
36,6667;0,636111111;0,097222222;10;8;50;;;;;;;;
39,5833;0,688888889;0,102777778;10;6;60;;;;;;;;
39,3056;0,708333333;0,077777778;10;10;50;;;;;;;;
43,0556;0,783333333;0,077777778;10;8;60;;;;;;;;
44,0278;0,819444444;0,061111111;10;10;60;;;;;;;;
Matches;total;103680;;;;;;;;;;;
259;;;;;;;;;;;;;
