EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;;
18,75;0,011111111;0,363888889;10;6;10;;;;;;;;;
13,1944;0,013888889;0,25;20;8;20;;;;;;;;;
14,8611;0,013888889;0,283333333;30;8;30;;;;;;;;;
14,1667;0,016666667;0,266666667;20;4;30;;;;;;;;;
17,2222;0,016666667;0,327777778;30;4;60;;;;;;;;;
17,9167;0,016666667;0,341666667;10;8;10;;;;;;;;;
14,0278;0,019444444;0,261111111;30;10;30;;;;;;;;;
17,0833;0,019444444;0,322222222;10;10;10;;;;;;;;;
13,6111;0,027777778;0,244444444;30;6;50;;;;;;;;;
13,1944;0,033333333;0,230555556;20;10;20;;;;;;;;;
13,75;0,036111111;0,238888889;30;8;40;;;;;;;;;
14,7222;0,044444444;0,25;10;4;20;;;;;;;;;
16,8056;0,044444444;0,291666667;40;10;60;;;;;;;;;
12,9167;0,052777778;0,205555556;20;6;30;;;;;;;;;
14,0278;0,058333333;0,222222222;20;4;40;;;;;;;;;
14,0278;0,066666667;0,213888889;30;10;40;;;;;;;;;
12,5;0,077777778;0,172222222;20;8;30;;;;;;;;;
14,1667;0,077777778;0,205555556;30;8;50;;;;;;;;;
14,8611;0,077777778;0,219444444;30;6;60;;;;;;;;;
14,1667;0,088888889;0,194444444;10;6;20;;;;;;;;;
14,1667;0,097222222;0,186111111;30;10;50;;;;;;;;;
14,7222;0,102777778;0,191666667;20;4;50;;;;;;;;;
15;0,127777778;0,172222222;20;6;40;;;;;;;;;
14,5833;0,130555556;0,161111111;20;10;30;;;;;;;;;
16,1111;0,133333333;0,188888889;30;8;60;;;;;;;;;
15,8333;0,136111111;0,180555556;10;8;20;;;;;;;;;
15,6944;0,144444444;0,169444444;10;4;30;;;;;;;;;
16,5278;0,169444444;0,161111111;20;4;60;;;;;;;;;
16,6667;0,175;0,158333333;10;10;20;;;;;;;;;
18,4722;0,202777778;0,166666667;30;10;60;;;;;;;;;
17,7778;0,213888889;0,141666667;20;8;40;;;;;;;;;
19,3056;0,241666667;0,144444444;20;6;50;;;;;;;;;
19,7222;0,261111111;0,133333333;10;6;30;;;;;;;;;
20,1389;0,269444444;0,133333333;20;10;40;;;;;;;;;
21,8056;0,297222222;0,138888889;10;4;40;;;;;;;;;
23,0556;0,341666667;0,119444444;20;6;60;;;;;;;;;
23,1944;0,347222222;0,116666667;20;8;50;;;;;;;;;
23,75;0,366666667;0,108333333;10;8;30;;;;;;;;;
26,3889;0,427777778;0,1;20;10;50;;;;;;;;;
