EER;FMR;FNMR;THR;GDTHRGAngTHR;;;;;;;;;
38,0556;0;0,761111111;50;10;10;;;;;;;;
38,1944;0;0,763888889;60;4;40;;;;;;;;
38,1944;0;0,763888889;60;4;50;;;;;;;;
38,1944;0;0,763888889;60;4;60;;;;;;;;
38,3333;0;0,766666667;50;8;10;;;;;;;;
38,4722;0;0,769444444;50;6;10;;;;;;;;
38,4722;0;0,769444444;60;4;30;;;;;;;;
38,6111;0;0,772222222;50;4;10;;;;;;;;
38,6111;0;0,772222222;60;4;20;;;;;;;;
38,8889;0;0,777777778;60;4;10;;;;;;;;
38,8889;0;0,777777778;60;6;10;;;;;;;;
38,8889;0;0,777777778;60;8;10;;;;;;;;
38,8889;0;0,777777778;60;10;10;;;;;;;;
21,25;0,002777778;0,422222222;30;8;30;;;;;;;;
22,7778;0,002777778;0,452777778;40;10;40;;;;;;;;
24,1667;0,002777778;0,480555556;40;6;60;;;;;;;;
20,2778;0,005555556;0,4;30;10;30;;;;;;;;
22,9167;0,005555556;0,452777778;40;8;50;;;;;;;;
20,9722;0,008333333;0,411111111;30;6;40;;;;;;;;
21,1111;0,008333333;0,413888889;20;6;20;;;;;;;;
21,25;0,008333333;0,416666667;40;10;50;;;;;;;;
23,75;0,011111111;0,463888889;30;4;50;;;;;;;;
19,8611;0,013888889;0,383333333;30;8;40;;;;;;;;
20,5556;0,013888889;0,397222222;20;8;20;;;;;;;;
21,9444;0,016666667;0,422222222;20;4;30;;;;;;;;
22,6389;0,022222222;0,430555556;40;8;60;;;;;;;;
20,5556;0,025;0,386111111;20;10;20;;;;;;;;
20,9722;0,025;0,394444444;40;10;60;;;;;;;;
23,1944;0,027777778;0,436111111;30;4;60;;;;;;;;
20,5556;0,030555556;0,380555556;30;6;50;;;;;;;;
21,3889;0,030555556;0,397222222;10;4;20;;;;;;;;
20,9722;0,036111111;0,383333333;20;4;40;;;;;;;;
19,8611;0,041666667;0,355555556;20;6;30;;;;;;;;
20;0,041666667;0,358333333;30;10;40;;;;;;;;
19,5833;0,052777778;0,338888889;10;6;20;;;;;;;;
19,7222;0,069444444;0,325;20;8;30;;;;;;;;
20,6944;0,069444444;0,344444444;30;8;50;;;;;;;;
20,8333;0,072222222;0,344444444;30;6;60;;;;;;;;
19,5833;0,077777778;0,313888889;10;8;20;;;;;;;;
21,25;0,1;0,325;30;10;50;;;;;;;;
21,1111;0,102777778;0,319444444;10;4;30;;;;;;;;
21,25;0,102777778;0,322222222;20;4;50;;;;;;;;
20,6944;0,111111111;0,302777778;20;10;30;;;;;;;;
20,8333;0,113888889;0,302777778;10;10;20;;;;;;;;
21,6667;0,119444444;0,313888889;20;6;40;;;;;;;;
21,25;0,122222222;0,302777778;30;8;60;;;;;;;;
22,7778;0,172222222;0,283333333;20;8;40;;;;;;;;
23,4722;0,180555556;0,288888889;30;10;60;;;;;;;;
23,8889;0,186111111;0,291666667;20;4;60;;;;;;;;
23,1944;0,2;0,263888889;10;6;30;;;;;;;;
24,4444;0,211111111;0,277777778;20;6;50;;;;;;;;
25,4167;0,227777778;0,280555556;10;4;40;;;;;;;;
24,8611;0,241666667;0,255555556;20;10;40;;;;;;;;
26,3889;0,277777778;0,25;10;8;30;;;;;;;;
27,2222;0,291666667;0,252777778;20;8;50;;;;;;;;
29,0278;0,347222222;0,233333333;10;10;30;;;;;;;;
29,8611;0,352777778;0,244444444;20;6;60;;;;;;;;
29,3056;0,363888889;0,222222222;10;6;40;;;;;;;;
30;0,375;0,225;10;4;50;;;;;;;;
29,1667;0,380555556;0,202777778;20;10;50;;;;;;;;
31,6667;0,438888889;0,194444444;10;8;40;;;;;;;;
32,5;0,458333333;0,191666667;20;8;60;;;;;;;;
32,0833;0,491666667;0,15;10;10;40;;;;;;;;
33,8889;0,505555556;0,172222222;10;4;60;;;;;;;;
33,4722;0,525;0,144444444;10;6;50;;;;;;;;
34,8611;0,555555556;0,141666667;20;10;60;;;;;;;;
36,3889;0,613888889;0,113888889;10;8;50;;;;;;;;
37,5;0,644444444;0,105555556;10;6;60;;;;;;;;
38,75;0,686111111;0,088888889;10;10;50;;;;;;;;
40,2778;0,725;0,080555556;10;8;60;;;;;;;;
42,3611;0,791666667;0,055555556;10;10;60;;;;;;;;
Matches;total;103680;;;;;;;;;;;
220;;;;;;;;;;;;;
