Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 15,46719
EER(%):; 20,179
FMR100(%):; 51,786
FMR1000(%):; 59,286
ZeroFmr(%):; 59,286
Matcher:;MQYW
0,3056;0,1393;0,1553
0,3111;0,1393;0,1545
0,3111;0,1357;0,1545
0,3444;0,1357;0,1502
0,3444;0,1321;0,1498
0,3472;0,1321;0,1498
0,3472;0,1286;0,1490
0,3944;0,1286;0,1441
0,3944;0,1250;0,1440
0,4028;0,1250;0,1419
0,4028;0,1214;0,1418
0,4250;0,1214;0,1417
0,4250;0,1179;0,1417
0,4417;0,1179;0,1383
0,4417;0,1143;0,1382
0,4556;0,1143;0,1369
0,4556;0,1071;0,1366
0,4722;0,1071;0,1352
0,4722;0,1036;0,1342
0,4972;0,1036;0,1308
0,4972;0,1000;0,1305
0,5083;0,1000;0,1294
0,5083;0,0964;0,1293
0,5194;0,0964;0,1281
0,5194;0,0929;0,1280
0,5250;0,0929;0,1273
0,5250;0,0893;0,1273
0,5417;0,0893;0,1241
0,5417;0,0857;0,1241
0,5472;0,0857;0,1239
0,5472;0,0821;0,1239
0,5778;0,0821;0,1182
0,5778;0,0750;0,1168
0,5917;0,0750;0,1149
0,5917;0,0679;0,1141
0,6167;0,0679;0,1103
0,6167;0,0643;0,1103
0,6250;0,0643;0,1090
0,6250;0,0607;0,1087
0,6361;0,0607;0,1082
0,6361;0,0571;0,1080
0,6472;0,0571;0,1072
0,6472;0,0500;0,1063
0,6667;0,0500;0,1045
0,6667;0,0464;0,1044
0,6694;0,0464;0,1044
0,6694;0,0429;0,1038
0,7500;0,0429;0,0955
0,7500;0,0393;0,0948
0,7806;0,0393;0,0904
0,7806;0,0357;0,0903
0,7917;0,0357;0,0901
0,7917;0,0321;0,0893
0,8028;0,0321;0,0883
0,8028;0,0286;0,0883
0,8167;0,0286;0,0864
0,8167;0,0250;0,0863
0,8528;0,0250;0,0801
0,8528;0,0179;0,0795
0,8556;0,0179;0,0786
0,8556;0,0143;0,0775
0,9250;0,0143;0,0662
0,9250;0,0107;0,0656
0,9528;0,0107;0,0590
0,9528;0,0071;0,0585
0,9639;0,0071;0,0552
0,9639;0,0036;0,0552
0,9861;0,0036;0,0497
0,9861;0,0000;0,0474
1,0000;0,0000;0,0302
1,0000;0,0000;0,0302
1,0000;0,0000;0,0302
