EER;FMR;FNMR;THR;GDTHR;GAngTHR;MtiaCTHR;;;;;;;;
33,75;0;0,675;0,02;8;20;4;;;;;;;;
33,75;0;0,675;0,02;8;20;6;;;;;;;;
33,75;0;0,675;0,02;8;20;8;;;;;;;;
33,75;0;0,675;0,025;10;30;2;;;;;;;;
33,75;0;0,675;0,025;10;30;4;;;;;;;;
33,75;0;0,675;0,025;10;30;6;;;;;;;;
33,75;0;0,675;0,025;10;40;2;;;;;;;;
33,75;0;0,675;0,025;10;40;4;;;;;;;;
33,75;0;0,675;0,025;10;40;6;;;;;;;;
33,75;0;0,675;0,025;10;50;10;;;;;;;;
33,75;0;0,675;0,025;10;60;10;;;;;;;;
33,8889;0;0,677777778;0,015;6;50;4;;;;;;;;
33,8889;0;0,677777778;0,015;6;50;6;;;;;;;;
33,8889;0;0,677777778;0,015;6;50;8;;;;;;;;
33,8889;0;0,677777778;0,015;6;60;4;;;;;;;;
33,8889;0;0,677777778;0,015;6;60;6;;;;;;;;
33,8889;0;0,677777778;0,015;6;60;8;;;;;;;;
33,8889;0;0,677777778;0,02;8;20;10;;;;;;;;
33,8889;0;0,677777778;0,025;10;20;2;;;;;;;;
33,8889;0;0,677777778;0,025;10;20;4;;;;;;;;
33,8889;0;0,677777778;0,025;10;20;6;;;;;;;;
33,8889;0;0,677777778;0,025;10;30;8;;;;;;;;
33,8889;0;0,677777778;0,025;10;40;8;;;;;;;;
34,0278;0;0,680555556;0,015;6;30;4;;;;;;;;
34,0278;0;0,680555556;0,015;6;30;6;;;;;;;;
34,0278;0;0,680555556;0,015;6;30;8;;;;;;;;
34,0278;0;0,680555556;0,015;6;40;4;;;;;;;;
34,0278;0;0,680555556;0,015;6;40;6;;;;;;;;
34,0278;0;0,680555556;0,015;6;40;8;;;;;;;;
34,0278;0;0,680555556;0,015;6;50;10;;;;;;;;
34,0278;0;0,680555556;0,015;6;60;10;;;;;;;;
34,0278;0;0,680555556;0,025;10;20;8;;;;;;;;
34,0278;0;0,680555556;0,025;10;30;10;;;;;;;;
34,0278;0;0,680555556;0,025;10;40;10;;;;;;;;
34,1667;0;0,683333333;0,015;6;20;4;;;;;;;;
34,1667;0;0,683333333;0,015;6;20;6;;;;;;;;
34,1667;0;0,683333333;0,015;6;20;8;;;;;;;;
34,1667;0;0,683333333;0,015;6;30;10;;;;;;;;
34,1667;0;0,683333333;0,015;6;40;10;;;;;;;;
34,1667;0;0,683333333;0,025;10;20;10;;;;;;;;
34,3056;0;0,686111111;0,015;6;20;10;;;;;;;;
34,8611;0;0,697222222;0,02;8;10;2;;;;;;;;
34,8611;0;0,697222222;0,02;8;10;4;;;;;;;;
34,8611;0;0,697222222;0,02;8;10;6;;;;;;;;
34,8611;0;0,697222222;0,02;8;10;8;;;;;;;;
35;0;0,7;0,02;8;10;10;;;;;;;;
35,2778;0;0,705555556;0,015;6;10;4;;;;;;;;
35,2778;0;0,705555556;0,015;6;10;6;;;;;;;;
35,2778;0;0,705555556;0,015;6;10;8;;;;;;;;
35,4167;0;0,708333333;0,015;6;10;10;;;;;;;;
35,4167;0;0,708333333;0,025;10;10;2;;;;;;;;
35,4167;0;0,708333333;0,025;10;10;4;;;;;;;;
35,4167;0;0,708333333;0,025;10;10;6;;;;;;;;
35,4167;0;0,708333333;0,025;10;10;8;;;;;;;;
35,4167;0;0,708333333;0,025;10;10;10;;;;;;;;
35,4167;0;0,708333333;0,025;8;50;2;;;;;;;;
35,4167;0;0,708333333;0,025;8;50;4;;;;;;;;
35,4167;0;0,708333333;0,025;8;50;6;;;;;;;;
35,4167;0;0,708333333;0,025;8;50;8;;;;;;;;
35,4167;0;0,708333333;0,025;8;60;2;;;;;;;;
