EER;FMR;FNMR;THR;GDTHR;GAngTHRLDTHR;LAngTHR;;;;;;;;;;;;
36,9444;0;0,738888889;30;4;50;8;50;;;;;;;;;;;
36,9444;0;0,738888889;30;4;50;12;30;;;;;;;;;;;
36,9444;0;0,738888889;30;4;50;12;50;;;;;;;;;;;
36,9444;0;0,738888889;50;8;50;8;10;;;;;;;;;;;
37,0833;0;0,741666667;30;4;30;8;30;;;;;;;;;;;
37,0833;0;0,741666667;30;4;30;8;50;;;;;;;;;;;
37,0833;0;0,741666667;30;4;30;12;30;;;;;;;;;;;
37,0833;0;0,741666667;30;4;30;12;50;;;;;;;;;;;
37,0833;0;0,741666667;30;4;50;4;30;;;;;;;;;;;
37,0833;0;0,741666667;30;4;50;4;50;;;;;;;;;;;
37,0833;0;0,741666667;50;8;30;8;10;;;;;;;;;;;
37,0833;0;0,741666667;50;8;50;4;10;;;;;;;;;;;
37,0833;0;0,741666667;50;8;50;12;10;;;;;;;;;;;
37,2222;0;0,744444444;50;12;10;4;50;;;;;;;;;;;
37,2222;0;0,744444444;50;12;10;12;10;;;;;;;;;;;
37,2222;0;0,744444444;50;8;30;4;10;;;;;;;;;;;
37,2222;0;0,744444444;50;8;30;12;10;;;;;;;;;;;
37,3611;0;0,747222222;30;4;30;4;30;;;;;;;;;;;
37,3611;0;0,747222222;30;4;30;4;50;;;;;;;;;;;
37,3611;0;0,747222222;50;12;10;4;30;;;;;;;;;;;
37,3611;0;0,747222222;50;12;10;8;10;;;;;;;;;;;
37,7778;0;0,755555556;30;4;30;8;10;;;;;;;;;;;
37,7778;0;0,755555556;30;4;30;12;10;;;;;;;;;;;
37,7778;0;0,755555556;30;4;50;8;10;;;;;;;;;;;
37,7778;0;0,755555556;30;4;50;12;10;;;;;;;;;;;
37,7778;0;0,755555556;50;12;10;4;10;;;;;;;;;;;
38,0556;0;0,761111111;30;4;30;4;10;;;;;;;;;;;
38,0556;0;0,761111111;30;4;50;4;10;;;;;;;;;;;
38,1944;0;0,763888889;30;4;10;8;50;;;;;;;;;;;
38,1944;0;0,763888889;30;4;10;12;50;;;;;;;;;;;
38,1944;0;0,763888889;50;8;10;8;30;;;;;;;;;;;
38,1944;0;0,763888889;50;8;10;8;50;;;;;;;;;;;
38,1944;0;0,763888889;50;8;10;12;30;;;;;;;;;;;
38,1944;0;0,763888889;50;8;10;12;50;;;;;;;;;;;
38,3333;0;0,766666667;30;4;10;4;30;;;;;;;;;;;
38,3333;0;0,766666667;30;4;10;4;50;;;;;;;;;;;
38,3333;0;0,766666667;30;4;10;8;30;;;;;;;;;;;
38,3333;0;0,766666667;30;4;10;12;30;;;;;;;;;;;
38,3333;0;0,766666667;50;8;10;4;30;;;;;;;;;;;
38,3333;0;0,766666667;50;8;10;4;50;;;;;;;;;;;
38,4722;0;0,769444444;30;4;10;4;10;;;;;;;;;;;
38,4722;0;0,769444444;30;4;10;8;10;;;;;;;;;;;
38,4722;0;0,769444444;30;4;10;12;10;;;;;;;;;;;
38,6111;0;0,772222222;50;8;10;4;10;;;;;;;;;;;
38,6111;0;0,772222222;50;8;10;8;10;;;;;;;;;;;
38,6111;0;0,772222222;50;8;10;12;10;;;;;;;;;;;
38,75;0;0,775;50;4;30;4;10;;;;;;;;;;;
38,75;0;0,775;50;4;30;4;30;;;;;;;;;;;
38,75;0;0,775;50;4;30;4;50;;;;;;;;;;;
38,75;0;0,775;50;4;30;8;10;;;;;;;;;;;
38,75;0;0,775;50;4;30;8;30;;;;;;;;;;;
38,75;0;0,775;50;4;30;8;50;;;;;;;;;;;
38,75;0;0,775;50;4;30;12;10;;;;;;;;;;;
38,75;0;0,775;50;4;30;12;30;;;;;;;;;;;
38,75;0;0,775;50;4;30;12;50;;;;;;;;;;;
38,75;0;0,775;50;4;50;4;10;;;;;;;;;;;
38,75;0;0,775;50;4;50;4;30;;;;;;;;;;;
38,75;0;0,775;50;4;50;4;50;;;;;;;;;;;
38,75;0;0,775;50;4;50;8;10;;;;;;;;;;;
38,75;0;0,775;50;4;50;8;30;;;;;;;;;;;
38,75;0;0,775;50;4;50;8;50;;;;;;;;;;;
38,75;0;0,775;50;4;50;12;10;;;;;;;;;;;
38,75;0;0,775;50;4;50;12;30;;;;;;;;;;;
38,75;0;0,775;50;4;50;12;50;;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;4;10;;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;4;30;;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;4;50;;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;8;10;;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;8;30;;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;8;50;;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;12;10;;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;12;30;;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;12;50;;;;;;;;;;;
11,3889;0,002777778;0,225;30;12;50;4;50;;;;;;;;;;;
12,0833;0,002777778;0,238888889;10;8;10;4;30;;;;;;;;;;;
14,0278;0,002777778;0,277777778;10;4;50;8;50;;;;;;;;;;;
14,1667;0,002777778;0,280555556;10;4;30;12;50;;;;;;;;;;;
16,3889;0,005555556;0,322222222;10;8;30;8;10;;;;;;;;;;;
16,8056;0,005555556;0,330555556;10;12;10;8;10;;;;;;;;;;;
11,3889;0,008333333;0,219444444;10;8;10;4;50;;;;;;;;;;;
13,0556;0,008333333;0,252777778;10;4;50;12;50;;;;;;;;;;;
15,2778;0,008333333;0,297222222;10;12;30;8;10;;;;;;;;;;;
15,6944;0,008333333;0,305555556;10;12;10;12;10;;;;;;;;;;;
15,9722;0,008333333;0,311111111;10;8;50;8;10;;;;;;;;;;;
6,8056;0,011111111;0,125;30;12;50;8;50;;;;;;;;;;;
7,2222;0,011111111;0,133333333;10;8;10;8;30;;;;;;;;;;;
7,7778;0,011111111;0,144444444;30;12;50;8;30;;;;;;;;;;;
15,1389;0,011111111;0,291666667;10;12;50;8;10;;;;;;;;;;;
15,5556;0,011111111;0,3;10;8;30;12;10;;;;;;;;;;;
7,3611;0,013888889;0,133333333;30;12;50;12;30;;;;;;;;;;;
6,25;0,016666667;0,108333333;10;8;10;12;30;;;;;;;;;;;
7,0833;0,019444444;0,122222222;30;12;50;12;50;;;;;;;;;;;
15,1389;0,019444444;0,283333333;10;8;50;12;10;;;;;;;;;;;
14,7222;0,025;0,269444444;10;12;30;12;10;;;;;;;;;;;
9,3056;0,027777778;0,158333333;10;12;10;4;30;;;;;;;;;;;
6,8056;0,033333333;0,102777778;10;8;10;8;50;;;;;;;;;;;
15;0,033333333;0,266666667;10;12;50;12;10;;;;;;;;;;;
6,5278;0,05;0,080555556;10;8;10;12;50;;;;;;;;;;;
9,0278;0,052777778;0,127777778;10;12;10;4;50;;;;;;;;;;;
10,6944;0,080555556;0,133333333;10;8;30;4;30;;;;;;;;;;;
8,4722;0,113888889;0,055555556;10;12;10;8;30;;;;;;;;;;;
11,9444;0,119444444;0,119444444;10;8;50;4;30;;;;;;;;;;;
11,3889;0,136111111;0,091666667;10;8;30;4;50;;;;;;;;;;;
11,6667;0,188888889;0,044444444;10;12;10;12;30;;;;;;;;;;;
12,0833;0,211111111;0,030555556;10;12;10;8;50;;;;;;;;;;;
15,2778;0,211111111;0,094444444;10;12;30;4;30;;;;;;;;;;;
13,0556;0,225;0,036111111;10;8;30;8;30;;;;;;;;;;;
15,8333;0,238888889;0,077777778;10;8;50;4;50;;;;;;;;;;;
18,3333;0,280555556;0,086111111;10;12;50;4;30;;;;;;;;;;;
18,3333;0,338888889;0,027777778;10;8;50;8;30;;;;;;;;;;;
18,8889;0,352777778;0,025;10;12;10;12;50;;;;;;;;;;;
19,3056;0,358333333;0,027777778;10;8;30;12;30;;;;;;;;;;;
20,4167;0,361111111;0,047222222;10;12;30;4;50;;;;;;;;;;;
21,3889;0,408333333;0,019444444;10;8;30;8;50;;;;;;;;;;;
25,2778;0,475;0,030555556;10;12;50;4;50;;;;;;;;;;;
25,5556;0,494444444;0,016666667;10;12;30;8;30;;;;;;;;;;;
26,25;0,508333333;0,016666667;10;8;50;12;30;;;;;;;;;;;
28,4722;0,555555556;0,013888889;10;8;30;12;50;;;;;;;;;;;
29,7222;0,577777778;0,016666667;10;8;50;8;50;;;;;;;;;;;
30,6944;0,6;0,013888889;10;12;50;8;30;;;;;;;;;;;
32,6389;0,65;0,002777778;10;12;30;12;30;;;;;;;;;;;
37,5;0,738888889;0,011111111;10;8;50;12;50;;;;;;;;;;;
38,3333;0,763888889;0,002777778;10;12;30;8;50;;;;;;;;;;;
39,5833;0,788888889;0,002777778;10;12;50;12;30;;;;;;;;;;;
42,7778;0,852777778;0,002777778;10;12;50;8;50;;;;;;;;;;;
43,8889;0,875;0,002777778;10;12;30;12;50;;;;;;;;;;;
47,9167;0,955555556;0,002777778;10;12;50;12;50;;;;;;;;;;;
Matches;total;174960;;;;;;;;;;;;;;;;
2362;;;;;;;;;;;;;;;;;;
