EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;;;;;;;;;;;
20,8333;0,005555556;0,411111111;10;8;50;12;10;;;;;;;;;;;
21,3889;0,005555556;0,422222222;10;8;30;12;10;;;;;;;;;;;
21,8056;0,005555556;0,430555556;10;8;50;8;10;;;;;;;;;;;
22,0833;0,005555556;0,436111111;10;12;10;8;10;;;;;;;;;;;
22,2222;0,005555556;0,438888889;10;8;30;8;10;;;;;;;;;;;
25,5556;0,005555556;0,505555556;10;12;50;4;10;;;;;;;;;;;
7,3611;0,008333333;0,138888889;30;12;50;12;30;;;;;;;;;;;
9,1667;0,008333333;0,175;30;12;50;8;30;;;;;;;;;;;
14,0278;0,008333333;0,272222222;10;4;10;8;50;;;;;;;;;;;
15,1389;0,008333333;0,294444444;30;12;50;4;50;;;;;;;;;;;
16,25;0,008333333;0,316666667;30;12;50;4;30;;;;;;;;;;;
21,25;0,008333333;0,416666667;10;12;10;12;10;;;;;;;;;;;
21,9444;0,008333333;0,430555556;10;12;30;8;10;;;;;;;;;;;
8,0556;0,011111111;0,15;30;12;50;8;50;;;;;;;;;;;
17,7778;0,011111111;0,344444444;10;4;30;4;30;;;;;;;;;;;
21,1111;0,011111111;0,411111111;10;12;30;12;10;;;;;;;;;;;
21,9444;0,011111111;0,427777778;10;12;50;8;10;;;;;;;;;;;
7,5;0,013888889;0,136111111;30;12;30;12;50;;;;;;;;;;;
17,6389;0,013888889;0,338888889;10;4;50;4;30;;;;;;;;;;;
20,9722;0,013888889;0,405555556;10;12;50;12;10;;;;;;;;;;;
10,6944;0,019444444;0,194444444;10;4;30;12;30;;;;;;;;;;;
12,5;0,019444444;0,230555556;10;4;30;8;30;;;;;;;;;;;
15,6944;0,019444444;0,294444444;10;8;10;4;30;;;;;;;;;;;
12,2222;0,022222222;0,222222222;10;4;50;8;30;;;;;;;;;;;
17,9167;0,022222222;0,336111111;10;4;30;4;50;;;;;;;;;;;
7,7778;0,025;0,130555556;30;12;50;12;50;;;;;;;;;;;
14,4444;0,025;0,263888889;10;8;10;4;50;;;;;;;;;;;
10,6944;0,030555556;0,183333333;10;4;50;12;30;;;;;;;;;;;
18,0556;0,030555556;0,330555556;10;4;50;4;50;;;;;;;;;;;
12,5;0,038888889;0,211111111;10;4;30;8;50;;;;;;;;;;;
14,3056;0,038888889;0,247222222;10;12;10;4;30;;;;;;;;;;;
10,5556;0,041666667;0,169444444;10;4;30;12;50;;;;;;;;;;;
9,5833;0,047222222;0,144444444;10;8;10;8;30;;;;;;;;;;;
12,9167;0,052777778;0,205555556;10;4;50;8;50;;;;;;;;;;;
13,0556;0,052777778;0,208333333;10;12;10;4;50;;;;;;;;;;;
14,0278;0,052777778;0,227777778;10;8;30;4;30;;;;;;;;;;;
11,1111;0,061111111;0,161111111;10;4;50;12;50;;;;;;;;;;;
14,4444;0,066666667;0,222222222;10;8;50;4;30;;;;;;;;;;;
9,8611;0,072222222;0,125;10;8;10;8;50;;;;;;;;;;;
9,7222;0,075;0,119444444;10;8;10;12;30;;;;;;;;;;;
14,3056;0,080555556;0,205555556;10;12;30;4;30;;;;;;;;;;;
9,7222;0,091666667;0,102777778;10;12;10;8;30;;;;;;;;;;;
14,3056;0,091666667;0,194444444;10;8;30;4;50;;;;;;;;;;;
15,2778;0,102777778;0,202777778;10;12;50;4;30;;;;;;;;;;;
10,5556;0,105555556;0,105555556;10;8;10;12;50;;;;;;;;;;;
10,6944;0,125;0,088888889;10;8;30;8;30;;;;;;;;;;;
15,4167;0,125;0,183333333;10;8;50;4;50;;;;;;;;;;;
11,5278;0,158333333;0,072222222;10;12;10;12;30;;;;;;;;;;;
12,2222;0,161111111;0,083333333;10;8;50;8;30;;;;;;;;;;;
16,3889;0,161111111;0,166666667;10;12;30;4;50;;;;;;;;;;;
12,3611;0,169444444;0,077777778;10;12;10;8;50;;;;;;;;;;;
17,6389;0,194444444;0,158333333;10;12;50;4;50;;;;;;;;;;;
13,3333;0,202777778;0,063888889;10;8;30;12;30;;;;;;;;;;;
14,5833;0,213888889;0,077777778;10;12;30;8;30;;;;;;;;;;;
15,1389;0,238888889;0,063888889;10;8;30;8;50;;;;;;;;;;;
16,25;0,266666667;0,058333333;10;8;50;12;30;;;;;;;;;;;
17,3611;0,272222222;0,075;10;12;50;8;30;;;;;;;;;;;
17,5;0,297222222;0,052777778;10;12;10;12;50;;;;;;;;;;;
18,6111;0,313888889;0,058333333;10;8;50;8;50;;;;;;;;;;;
19,7222;0,344444444;0,05;10;12;30;12;30;;;;;;;;;;;
21,3889;0,380555556;0,047222222;10;8;30;12;50;;;;;;;;;;;
22,2222;0,4;0,044444444;10;12;50;12;30;;;;;;;;;;;
23,75;0,425;0,05;10;12;30;8;50;;;;;;;;;;;
25,8333;0,477777778;0,038888889;10;8;50;12;50;;;;;;;;;;;
26,3889;0,486111111;0,041666667;10;12;50;8;50;;;;;;;;;;;
32,2222;0,616666667;0,027777778;10;12;30;12;50;;;;;;;;;;;
35,5556;0,694444444;0,016666667;10;12;50;12;50;;;;;;;;;;;
Matches;total;174960;;;;;;;;;;;;;;;;
372;;;;;;;;;;;;;;;;;;
