EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount;;;;;;;;;;;;
34,8611;0;0,697222222;0,02;8;30;4;50;12;;;;;;;;;;;;
34,8611;0;0,697222222;0,02;12;30;4;30;12;;;;;;;;;;;;
34,8611;0;0,697222222;0,02;12;50;4;30;12;;;;;;;;;;;;
34,8611;0;0,697222222;0,03;4;30;12;10;4;;;;;;;;;;;;
34,8611;0;0,697222222;0,03;8;30;4;50;12;;;;;;;;;;;;
34,8611;0;0,697222222;0,03;12;30;4;30;12;;;;;;;;;;;;
34,8611;0;0,697222222;0,03;4;50;12;10;4;;;;;;;;;;;;
34,8611;0;0,697222222;0,03;12;50;4;30;12;;;;;;;;;;;;
34,8611;0;0,697222222;0,04;8;30;4;50;12;;;;;;;;;;;;
34,8611;0;0,697222222;0,04;12;30;4;30;12;;;;;;;;;;;;
34,8611;0;0,697222222;0,04;12;50;4;30;12;;;;;;;;;;;;
35;0;0,7;0,02;8;10;12;50;12;;;;;;;;;;;;
35;0;0,7;0,02;8;30;4;30;12;;;;;;;;;;;;
35;0;0,7;0,02;4;50;4;50;8;;;;;;;;;;;;
35;0;0,7;0,02;8;50;4;30;12;;;;;;;;;;;;
35;0;0,7;0,03;4;10;12;10;4;;;;;;;;;;;;
35;0;0,7;0,03;8;10;12;50;12;;;;;;;;;;;;
35;0;0,7;0,03;8;30;4;30;12;;;;;;;;;;;;
35;0;0,7;0,03;4;50;4;50;8;;;;;;;;;;;;
35;0;0,7;0,03;8;50;4;30;12;;;;;;;;;;;;
35;0;0,7;0,04;8;10;12;50;12;;;;;;;;;;;;
35;0;0,7;0,04;8;30;4;30;12;;;;;;;;;;;;
35;0;0,7;0,04;4;50;4;50;8;;;;;;;;;;;;
35;0;0,7;0,04;8;50;4;30;12;;;;;;;;;;;;
35,1389;0;0,702777778;0,02;4;10;8;50;8;;;;;;;;;;;;
35,1389;0;0,702777778;0,02;4;10;12;50;8;;;;;;;;;;;;
