EER;FMR;FNMR;THR;GDTHR;GAngTHRLDTHR;LAngTHR;;;;;;;;;;;;
18,0556;0,038888889;0,322222222;10;8;10;12;30;;;;;;;;;;;
16,8056;0,044444444;0,291666667;10;8;10;12;50;;;;;;;;;;;
19,7222;0,044444444;0,35;10;8;30;4;50;;;;;;;;;;;
20,8333;0,047222222;0,369444444;10;8;50;4;30;;;;;;;;;;;
16,1111;0,052777778;0,269444444;10;12;10;8;30;;;;;;;;;;;
20,6944;0,061111111;0,352777778;10;12;30;4;30;;;;;;;;;;;
20,1389;0,080555556;0,322222222;10;8;50;4;50;;;;;;;;;;;
21,25;0,080555556;0,344444444;10;12;50;4;30;;;;;;;;;;;
15,8333;0,086111111;0,230555556;10;12;10;8;50;;;;;;;;;;;
17,2222;0,105555556;0,238888889;10;8;30;8;30;;;;;;;;;;;
20,2778;0,111111111;0,294444444;10;12;30;4;50;;;;;;;;;;;
16,9444;0,119444444;0,219444444;10;12;10;12;30;;;;;;;;;;;
21,6667;0,155555556;0,277777778;10;12;50;4;50;;;;;;;;;;;
17,2222;0,158333333;0,186111111;10;8;30;12;30;;;;;;;;;;;
17,9167;0,166666667;0,191666667;10;12;10;12;50;;;;;;;;;;;
19,7222;0,172222222;0,222222222;10;8;50;8;30;;;;;;;;;;;
19,1667;0,188888889;0,194444444;10;8;30;8;50;;;;;;;;;;;
20,9722;0,230555556;0,188888889;10;12;30;8;30;;;;;;;;;;;
20,4167;0,233333333;0,175;10;8;50;12;30;;;;;;;;;;;
20,6944;0,266666667;0,147222222;10;8;30;12;50;;;;;;;;;;;
22,9167;0,283333333;0,175;10;8;50;8;50;;;;;;;;;;;
23,3333;0,291666667;0,175;10;12;50;8;30;;;;;;;;;;;
24,7222;0,361111111;0,133333333;10;12;30;12;30;;;;;;;;;;;
25,4167;0,372222222;0,136111111;10;12;30;8;50;;;;;;;;;;;
25,1389;0,375;0,127777778;10;8;50;12;50;;;;;;;;;;;
26,6667;0,419444444;0,113888889;10;12;50;12;30;;;;;;;;;;;
28,0556;0,441666667;0,119444444;10;12;50;8;50;;;;;;;;;;;
32,2222;0,541666667;0,102777778;10;12;30;12;50;;;;;;;;;;;
33,8889;0,602777778;0,075;10;12;50;12;50;;;;;;;;;;;
Matches;total;174960;;;;;;;;;;;;;;;;
976;;;;;;;;;;;;;;;;;;
