EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;;;
38,3333;0;0,766666667;60;10;40;;;;;;;;;;
38,3333;0;0,766666667;60;6;50;;;;;;;;;;
38,3333;0;0,766666667;60;8;50;;;;;;;;;;
38,3333;0;0,766666667;60;6;60;;;;;;;;;;
38,4722;0;0,769444444;60;6;30;;;;;;;;;;
38,4722;0;0,769444444;60;8;30;;;;;;;;;;
38,4722;0;0,769444444;60;10;30;;;;;;;;;;
38,6111;0;0,772222222;50;6;10;;;;;;;;;;
38,6111;0;0,772222222;50;8;10;;;;;;;;;;
38,6111;0;0,772222222;50;10;10;;;;;;;;;;
38,75;0;0,775;50;4;10;;;;;;;;;;
38,75;0;0,775;60;4;20;;;;;;;;;;
38,75;0;0,775;60;6;20;;;;;;;;;;
38,75;0;0,775;60;8;20;;;;;;;;;;
38,75;0;0,775;60;10;20;;;;;;;;;;
38,75;0;0,775;60;4;30;;;;;;;;;;
38,75;0;0,775;60;4;40;;;;;;;;;;
38,75;0;0,775;60;4;50;;;;;;;;;;
38,75;0;0,775;60;4;60;;;;;;;;;;
38,8889;0;0,777777778;60;4;10;;;;;;;;;;
38,8889;0;0,777777778;60;6;10;;;;;;;;;;
38,8889;0;0,777777778;60;8;10;;;;;;;;;;
38,8889;0;0,777777778;60;10;10;;;;;;;;;;
25,1389;0,002777778;0,5;20;4;40;;;;;;;;;;
26,6667;0,002777778;0,530555556;30;10;50;;;;;;;;;;
27,0833;0,002777778;0,538888889;30;8;60;;;;;;;;;;
22,2222;0,005555556;0,438888889;20;10;30;;;;;;;;;;
23,4722;0,005555556;0,463888889;20;6;40;;;;;;;;;;
24,1667;0,005555556;0,477777778;20;4;50;;;;;;;;;;
26,3889;0,005555556;0,522222222;30;10;60;;;;;;;;;;
21,8056;0,008333333;0,427777778;20;8;40;;;;;;;;;;
24,0278;0,008333333;0,472222222;20;4;60;;;;;;;;;;
24,4444;0,019444444;0,469444444;10;4;10;;;;;;;;;;
23,0556;0,022222222;0,438888889;20;6;50;;;;;;;;;;
23,8889;0,030555556;0,447222222;10;6;10;;;;;;;;;;
22,0833;0,036111111;0,405555556;20;8;50;;;;;;;;;;
22,3611;0,036111111;0,411111111;20;10;40;;;;;;;;;;
23,3333;0,036111111;0,430555556;10;8;10;;;;;;;;;;
23,3333;0,05;0,416666667;10;10;10;;;;;;;;;;
24,1667;0,058333333;0,425;20;6;60;;;;;;;;;;
22,5;0,069444444;0,380555556;20;8;60;;;;;;;;;;
23,1944;0,077777778;0,386111111;10;4;20;;;;;;;;;;
23,0556;0,080555556;0,380555556;20;10;50;;;;;;;;;;
23,0556;0,111111111;0,35;20;10;60;;;;;;;;;;
23,8889;0,138888889;0,338888889;10;6;20;;;;;;;;;;
23,6111;0,172222222;0,3;10;8;20;;;;;;;;;;
26,5278;0,172222222;0,358333333;10;4;30;;;;;;;;;;
25,1389;0,225;0,277777778;10;10;20;;;;;;;;;;
26,1111;0,238888889;0,283333333;10;4;40;;;;;;;;;;
26,6667;0,258333333;0,275;10;6;30;;;;;;;;;;
28,4722;0,322222222;0,247222222;10;4;50;;;;;;;;;;
27,0833;0,330555556;0,211111111;10;8;30;;;;;;;;;;
27,7778;0,358333333;0,197222222;10;6;40;;;;;;;;;;
30,2778;0,4;0,205555556;10;4;60;;;;;;;;;;
29,0278;0,413888889;0,166666667;10;10;30;;;;;;;;;;
30,6944;0,447222222;0,166666667;10;6;50;;;;;;;;;;
31,5278;0,472222222;0,158333333;10;8;40;;;;;;;;;;
33,6111;0,544444444;0,127777778;10;6;60;;;;;;;;;;
34,4444;0,577777778;0,111111111;10;8;50;;;;;;;;;;
34,8611;0,577777778;0,119444444;10;10;40;;;;;;;;;;
37,7778;0,680555556;0,075;10;10;50;;;;;;;;;;
38,4722;0,680555556;0,088888889;10;8;60;;;;;;;;;;
42,0833;0,797222222;0,044444444;10;10;60;;;;;;;;;;
Matches;total;103680;;;;;;;;;;;;;
271;;;;;;;;;;;;;;;
