EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;beta;alfa;;;;;;;;;;;
37,2222;0;0,744444444;30;4;10;0,2;60;16;;;;;;;;;;;
37,2222;0;0,744444444;30;4;10;0,4;30;12;;;;;;;;;;;
37,2222;0;0,744444444;30;4;10;0,4;30;16;;;;;;;;;;;
37,2222;0;0,744444444;30;4;10;0,4;60;12;;;;;;;;;;;
37,2222;0;0,744444444;30;4;10;0,4;60;16;;;;;;;;;;;
37,7778;0;0,755555556;30;4;10;0,2;30;8;;;;;;;;;;;
37,7778;0;0,755555556;30;4;10;0,2;60;8;;;;;;;;;;;
37,7778;0;0,755555556;30;4;10;0,4;30;8;;;;;;;;;;;
37,7778;0;0,755555556;30;4;10;0,4;60;8;;;;;;;;;;;
20,5556;0,002777778;0,408333333;20;10;40;0,2;60;16;;;;;;;;;;;
21,1111;0,002777778;0,419444444;20;10;40;0,2;30;16;;;;;;;;;;;
27,0833;0,005555556;0,536111111;10;4;10;0,2;30;16;;;;;;;;;;;
27,0833;0,005555556;0,536111111;10;4;10;0,2;60;16;;;;;;;;;;;
28,75;0,005555556;0,569444444;10;4;10;0,2;60;12;;;;;;;;;;;
28,8889;0,005555556;0,572222222;10;4;10;0,2;30;12;;;;;;;;;;;
30,8333;0,005555556;0,611111111;10;4;40;0,2;30;8;;;;;;;;;;;
30,8333;0,005555556;0,611111111;10;4;40;0,2;60;8;;;;;;;;;;;
27,5;0,008333333;0,541666667;10;4;10;0,4;30;12;;;;;;;;;;;
27,5;0,008333333;0,541666667;10;4;10;0,4;60;12;;;;;;;;;;;
29,1667;0,008333333;0,575;10;4;40;0,4;30;8;;;;;;;;;;;
20,2778;0,011111111;0,394444444;20;10;40;0,4;30;12;;;;;;;;;;;
25,6944;0,011111111;0,502777778;10;4;10;0,4;30;16;;;;;;;;;;;
25,6944;0,011111111;0,502777778;10;4;10;0,4;60;16;;;;;;;;;;;
26,5278;0,011111111;0,519444444;10;4;40;0,2;30;12;;;;;;;;;;;
26,5278;0,011111111;0,519444444;10;4;40;0,2;60;12;;;;;;;;;;;
24,3056;0,013888889;0,472222222;20;10;40;0,4;60;8;;;;;;;;;;;
24,5833;0,013888889;0,477777778;10;4;40;0,2;30;16;;;;;;;;;;;
24,5833;0,013888889;0,477777778;10;4;40;0,2;60;16;;;;;;;;;;;
24,8611;0,013888889;0,483333333;10;4;40;0,4;30;12;;;;;;;;;;;
26,5278;0,013888889;0,516666667;10;10;10;0,2;30;8;;;;;;;;;;;
29,1667;0,013888889;0,569444444;10;4;40;0,4;60;8;;;;;;;;;;;
26,25;0,016666667;0,508333333;10;10;10;0,2;60;8;;;;;;;;;;;
25,2778;0,022222222;0,483333333;10;4;40;0,4;60;12;;;;;;;;;;;
19,3056;0,025;0,361111111;20;10;40;0,4;30;16;;;;;;;;;;;
20,2778;0,027777778;0,377777778;20;10;40;0,4;60;12;;;;;;;;;;;
23,3333;0,027777778;0,438888889;10;4;40;0,4;30;16;;;;;;;;;;;
22,2222;0,033333333;0,411111111;10;10;10;0,2;30;12;;;;;;;;;;;
23,6111;0,033333333;0,438888889;10;4;40;0,4;60;16;;;;;;;;;;;
20,5556;0,041666667;0,369444444;10;10;10;0,2;30;16;;;;;;;;;;;
22,0833;0,041666667;0,4;10;10;10;0,2;60;12;;;;;;;;;;;
19,1667;0,047222222;0,336111111;20;10;40;0,4;60;16;;;;;;;;;;;
20,2778;0,052777778;0,352777778;10;10;10;0,2;60;16;;;;;;;;;;;
24,3056;0,052777778;0,433333333;10;10;10;0,4;30;8;;;;;;;;;;;
24,5833;0,077777778;0,413888889;10;10;10;0,4;60;8;;;;;;;;;;;
26,3889;0,080555556;0,447222222;10;10;40;0,2;30;8;;;;;;;;;;;
