EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount;;;;;;;;;;;;
23,0556;0;0,461111111;0,02;4;30;4;30;4;;;;;;;;;;;;
23,0556;0;0,461111111;0,02;4;50;4;30;4;;;;;;;;;;;;
23,0556;0;0,461111111;0,03;8;10;8;30;8;;;;;;;;;;;;
23,0556;0;0,461111111;0,03;8;30;4;50;8;;;;;;;;;;;;
23,0556;0;0,461111111;0,04;4;30;8;50;4;;;;;;;;;;;;
23,0556;0;0,461111111;0,04;4;50;8;50;4;;;;;;;;;;;;
23,1944;0;0,463888889;0,04;4;30;12;30;4;;;;;;;;;;;;
23,1944;0;0,463888889;0,04;4;50;12;30;4;;;;;;;;;;;;
23,1944;0;0,463888889;0,04;8;10;4;30;4;;;;;;;;;;;;
23,1944;0;0,463888889;0,04;12;30;4;30;8;;;;;;;;;;;;
23,3333;0;0,466666667;0,04;4;30;8;30;4;;;;;;;;;;;;
23,3333;0;0,466666667;0,04;4;50;8;30;4;;;;;;;;;;;;
23,3333;0;0,466666667;0,04;8;50;4;50;8;;;;;;;;;;;;
23,6111;0;0,472222222;0,03;4;10;12;50;4;;;;;;;;;;;;
23,75;0;0,475;0,02;8;30;8;50;12;;;;;;;;;;;;
23,75;0;0,475;0,02;8;50;8;50;12;;;;;;;;;;;;
23,75;0;0,475;0,03;8;30;8;50;12;;;;;;;;;;;;
23,75;0;0,475;0,03;8;50;8;50;12;;;;;;;;;;;;
23,75;0;0,475;0,04;8;30;4;50;8;;;;;;;;;;;;
23,75;0;0,475;0,04;8;30;8;50;12;;;;;;;;;;;;
23,75;0;0,475;0,04;8;50;8;50;12;;;;;;;;;;;;
24,0278;0;0,480555556;0,04;8;10;8;30;8;;;;;;;;;;;;
24,1667;0;0,483333333;0,03;4;10;8;50;4;;;;;;;;;;;;
24,3056;0;0,486111111;0,02;12;10;12;50;12;;;;;;;;;;;;
24,3056;0;0,486111111;0,03;4;10;12;30;4;;;;;;;;;;;;
24,3056;0;0,486111111;0,03;4;30;4;50;4;;;;;;;;;;;;
24,3056;0;0,486111111;0,03;4;50;4;50;4;;;;;;;;;;;;
24,3056;0;0,486111111;0,03;12;10;12;50;12;;;;;;;;;;;;
24,3056;0;0,486111111;0,04;12;10;12;50;12;;;;;;;;;;;;
24,4444;0;0,488888889;0,02;8;30;12;30;12;;;;;;;;;;;;
24,4444;0;0,488888889;0,02;8;50;12;30;12;;;;;;;;;;;;
24,4444;0;0,488888889;0,03;8;30;12;30;12;;;;;;;;;;;;
24,4444;0;0,488888889;0,03;8;50;12;30;12;;;;;;;;;;;;
24,4444;0;0,488888889;0,04;8;30;12;30;12;;;;;;;;;;;;
24,4444;0;0,488888889;0,04;8;50;12;30;12;;;;;;;;;;;;
24,5833;0;0,491666667;0,02;8;30;4;30;8;;;;;;;;;;;;
24,5833;0;0,491666667;0,02;8;50;4;30;8;;;;;;;;;;;;
24,7222;0;0,494444444;0,03;4;10;8;30;4;;;;;;;;;;;;
24,7222;0;0,494444444;0,03;8;50;4;30;8;;;;;;;;;;;;
24,8611;0;0,497222222;0,03;8;30;4;30;8;;;;;;;;;;;;
25,2778;0;0,505555556;0,02;12;10;4;50;8;;;;;;;;;;;;
25,2778;0;0,505555556;0,03;4;30;4;30;4;;;;;;;;;;;;
25,2778;0;0,505555556;0,03;4;50;4;30;4;;;;;;;;;;;;
25,4167;0;0,508333333;0,03;12;10;4;50;8;;;;;;;;;;;;
25,4167;0;0,508333333;0,04;8;30;4;30;8;;;;;;;;;;;;
25,4167;0;0,508333333;0,04;8;50;4;30;8;;;;;;;;;;;;
25,5556;0;0,511111111;0,02;4;10;4;50;4;;;;;;;;;;;;
25,5556;0;0,511111111;0,02;8;30;8;30;12;;;;;;;;;;;;
25,5556;0;0,511111111;0,02;8;50;8;30;12;;;;;;;;;;;;
25,5556;0;0,511111111;0,03;8;30;8;30;12;;;;;;;;;;;;
25,5556;0;0,511111111;0,03;8;50;8;30;12;;;;;;;;;;;;
25,6944;0;0,513888889;0,02;12;10;12;30;12;;;;;;;;;;;;
25,6944;0;0,513888889;0,03;12;10;12;30;12;;;;;;;;;;;;
25,6944;0;0,513888889;0,04;8;30;8;30;12;;;;;;;;;;;;
25,6944;0;0,513888889;0,04;8;50;8;30;12;;;;;;;;;;;;
25,6944;0;0,513888889;0,04;12;10;12;30;12;;;;;;;;;;;;
25,8333;0;0,516666667;0,02;12;30;12;10;4;;;;;;;;;;;;
25,8333;0;0,516666667;0,02;12;50;12;10;4;;;;;;;;;;;;
25,9722;0;0,519444444;0,02;12;10;8;50;12;;;;;;;;;;;;
