EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;beta;alfa;;;;;;;;;;;
35,8333;0;0,716666667;30;4;40;0,2;60;12;;;;;;;;;;;
35,8333;0;0,716666667;30;4;40;0,2;60;16;;;;;;;;;;;
36,1111;0;0,722222222;30;4;40;0,4;60;8;;;;;;;;;;;
36,3889;0;0,727777778;30;4;40;0,2;60;8;;;;;;;;;;;
36,3889;0;0,727777778;30;4;40;0,4;30;8;;;;;;;;;;;
36,6667;0;0,733333333;30;4;40;0,2;30;8;;;;;;;;;;;
37,6389;0;0,752777778;30;4;10;0,4;30;12;;;;;;;;;;;
37,6389;0;0,752777778;30;4;10;0,4;30;16;;;;;;;;;;;
37,6389;0;0,752777778;30;4;10;0,4;60;12;;;;;;;;;;;
37,6389;0;0,752777778;30;4;10;0,4;60;16;;;;;;;;;;;
37,7778;0;0,755555556;30;4;10;0,2;30;12;;;;;;;;;;;
37,7778;0;0,755555556;30;4;10;0,2;30;16;;;;;;;;;;;
37,7778;0;0,755555556;30;4;10;0,2;60;12;;;;;;;;;;;
37,7778;0;0,755555556;30;4;10;0,2;60;16;;;;;;;;;;;
37,7778;0;0,755555556;30;4;10;0,4;30;8;;;;;;;;;;;
37,7778;0;0,755555556;30;4;10;0,4;60;8;;;;;;;;;;;
37,9167;0;0,758333333;30;4;10;0,2;30;8;;;;;;;;;;;
37,9167;0;0,758333333;30;4;10;0,2;60;8;;;;;;;;;;;
19,0278;0,002777778;0,377777778;30;10;40;0,4;30;12;;;;;;;;;;;
19,3056;0,002777778;0,383333333;30;10;40;0,4;60;12;;;;;;;;;;;
22,0833;0,002777778;0,438888889;30;10;40;0,4;60;8;;;;;;;;;;;
22,3611;0,002777778;0,444444444;30;10;40;0,4;30;8;;;;;;;;;;;
17,3611;0,005555556;0,341666667;30;10;40;0,4;60;16;;;;;;;;;;;
17,7778;0,005555556;0,35;30;10;40;0,4;30;16;;;;;;;;;;;
21,8056;0,005555556;0,430555556;20;10;40;0,2;30;8;;;;;;;;;;;
20,5556;0,008333333;0,402777778;20;10;40;0,2;60;8;;;;;;;;;;;
26,8056;0,008333333;0,527777778;10;4;10;0,4;60;8;;;;;;;;;;;
27,0833;0,008333333;0,533333333;10;4;10;0,4;30;8;;;;;;;;;;;
29,0278;0,008333333;0,572222222;10;4;10;0,2;60;8;;;;;;;;;;;
29,1667;0,008333333;0,575;10;4;10;0,2;30;8;;;;;;;;;;;
24,4444;0,011111111;0,477777778;10;4;10;0,2;60;16;;;;;;;;;;;
24,5833;0,011111111;0,480555556;10;4;10;0,2;30;16;;;;;;;;;;;
25,9722;0,011111111;0,508333333;10;4;10;0,2;60;12;;;;;;;;;;;
26,1111;0,011111111;0,511111111;10;4;10;0,2;30;12;;;;;;;;;;;
22,5;0,013888889;0,436111111;10;4;10;0,4;30;16;;;;;;;;;;;
