EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;;
38,4722;0;0,769444444;40;4;20;;;;;;;;;
38,4722;0;0,769444444;50;10;40;;;;;;;;;
38,4722;0;0,769444444;50;10;50;;;;;;;;;
38,4722;0;0,769444444;50;8;60;;;;;;;;;
38,6111;0;0,772222222;40;8;10;;;;;;;;;
38,6111;0;0,772222222;40;10;10;;;;;;;;;
38,6111;0;0,772222222;50;8;30;;;;;;;;;
38,6111;0;0,772222222;50;10;30;;;;;;;;;
38,6111;0;0,772222222;50;8;40;;;;;;;;;
38,6111;0;0,772222222;50;8;50;;;;;;;;;
38,6111;0;0,772222222;50;6;60;;;;;;;;;
38,75;0;0,775;40;6;10;;;;;;;;;
38,75;0;0,775;50;6;20;;;;;;;;;
38,75;0;0,775;50;8;20;;;;;;;;;
38,75;0;0,775;50;10;20;;;;;;;;;
38,75;0;0,775;50;6;30;;;;;;;;;
38,75;0;0,775;50;6;40;;;;;;;;;
38,75;0;0,775;50;6;50;;;;;;;;;
38,75;0;0,775;50;4;60;;;;;;;;;
38,75;0;0,775;60;10;30;;;;;;;;;
38,75;0;0,775;60;8;40;;;;;;;;;
38,75;0;0,775;60;10;40;;;;;;;;;
38,75;0;0,775;60;8;50;;;;;;;;;
38,75;0;0,775;60;10;50;;;;;;;;;
38,75;0;0,775;60;8;60;;;;;;;;;
38,75;0;0,775;60;10;60;;;;;;;;;
38,8889;0;0,777777778;40;4;10;;;;;;;;;
38,8889;0;0,777777778;50;4;10;;;;;;;;;
38,8889;0;0,777777778;50;6;10;;;;;;;;;
38,8889;0;0,777777778;50;8;10;;;;;;;;;
38,8889;0;0,777777778;50;10;10;;;;;;;;;
38,8889;0;0,777777778;50;4;20;;;;;;;;;
38,8889;0;0,777777778;50;4;30;;;;;;;;;
38,8889;0;0,777777778;50;4;40;;;;;;;;;
38,8889;0;0,777777778;50;4;50;;;;;;;;;
38,8889;0;0,777777778;60;4;10;;;;;;;;;
38,8889;0;0,777777778;60;6;10;;;;;;;;;
38,8889;0;0,777777778;60;8;10;;;;;;;;;
38,8889;0;0,777777778;60;10;10;;;;;;;;;
38,8889;0;0,777777778;60;4;20;;;;;;;;;
38,8889;0;0,777777778;60;6;20;;;;;;;;;
38,8889;0;0,777777778;60;8;20;;;;;;;;;
38,8889;0;0,777777778;60;10;20;;;;;;;;;
38,8889;0;0,777777778;60;4;30;;;;;;;;;
38,8889;0;0,777777778;60;6;30;;;;;;;;;
38,8889;0;0,777777778;60;8;30;;;;;;;;;
38,8889;0;0,777777778;60;4;40;;;;;;;;;
38,8889;0;0,777777778;60;6;40;;;;;;;;;
38,8889;0;0,777777778;60;4;50;;;;;;;;;
38,8889;0;0,777777778;60;6;50;;;;;;;;;
38,8889;0;0,777777778;60;4;60;;;;;;;;;
38,8889;0;0,777777778;60;6;60;;;;;;;;;
26,25;0,002777778;0,522222222;20;10;30;;;;;;;;;
27,6389;0,002777778;0,55;20;8;30;;;;;;;;;
30;0,002777778;0,597222222;20;4;50;;;;;;;;;
27,9167;0,005555556;0,552777778;20;6;50;;;;;;;;;
29,1667;0,005555556;0,577777778;10;4;10;;;;;;;;;
29,7222;0,005555556;0,588888889;20;4;60;;;;;;;;;
26,9444;0,008333333;0,530555556;20;8;40;;;;;;;;;
27,3611;0,011111111;0,536111111;20;6;60;;;;;;;;;
26,1111;0,016666667;0,505555556;10;8;10;;;;;;;;;
27,5;0,016666667;0,533333333;10;6;10;;;;;;;;;
