EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;;;;;;;;;;
19,5833;0,069444444;0,322222222;10;8;50;4;50;;;;;;;;;;
12,9167;0,083333333;0,175;10;8;30;8;30;;;;;;;;;;
19,3056;0,088888889;0,297222222;10;12;30;4;50;;;;;;;;;;
13,4722;0,1;0,169444444;10;12;10;12;30;;;;;;;;;;
14,8611;0,108333333;0,188888889;10;12;10;8;50;;;;;;;;;;
14,1667;0,125;0,158333333;10;8;50;8;30;;;;;;;;;;
20,2778;0,130555556;0,275;10;12;50;4;50;;;;;;;;;;
13,8889;0,15;0,127777778;10;8;30;12;30;;;;;;;;;;
13,8889;0,161111111;0,116666667;10;8;30;8;50;;;;;;;;;;
14,8611;0,161111111;0,136111111;10;12;30;8;30;;;;;;;;;;
16,8056;0,191666667;0,144444444;10;12;10;12;50;;;;;;;;;;
16,6667;0,216666667;0,116666667;10;12;50;8;30;;;;;;;;;;
17,2222;0,227777778;0,116666667;10;8;50;12;30;;;;;;;;;;
17,7778;0,25;0,105555556;10;8;50;8;50;;;;;;;;;;
17,3611;0,269444444;0,077777778;10;8;30;12;50;;;;;;;;;;
17,6389;0,283333333;0,069444444;10;12;30;12;30;;;;;;;;;;
19,4444;0,305555556;0,083333333;10;12;30;8;50;;;;;;;;;;
21,3889;0,363888889;0,063888889;10;12;50;12;30;;;;;;;;;;
22,3611;0,388888889;0,058333333;10;8;50;12;50;;;;;;;;;;
24,0278;0,413888889;0,066666667;10;12;50;8;50;;;;;;;;;;
27,0833;0,511111111;0,030555556;10;12;30;12;50;;;;;;;;;;
31,9444;0,616666667;0,022222222;10;12;50;12;50;;;;;;;;;;
Matches;total;174960;;;;;;;;;;;;;;;
317;;;;;;;;;;;;;;;;;
