EER;FMR;FNMR;THR;GDTHR;GAngTHR;MtiaCTHR;;;;;;;;
28,1944;0;0,563888889;0,008;4;20;6;;;;;;;;
28,1944;0;0,563888889;0,008;4;40;8;;;;;;;;
28,1944;0;0,563888889;0,008;4;50;8;;;;;;;;
28,1944;0;0,563888889;0,008;4;60;8;;;;;;;;
28,3333;0;0,566666667;0,008;4;30;8;;;;;;;;
28,4722;0;0,569444444;0,008;4;20;8;;;;;;;;
29,0278;0;0,580555556;0,008;4;40;10;;;;;;;;
29,0278;0;0,580555556;0,008;4;50;10;;;;;;;;
29,0278;0;0,580555556;0,008;4;60;10;;;;;;;;
29,1667;0;0,583333333;0,008;4;30;10;;;;;;;;
29,3056;0;0,586111111;0,008;4;20;10;;;;;;;;
29,5833;0;0,591666667;0,016;6;10;2;;;;;;;;
29,5833;0;0,591666667;0,016;6;10;4;;;;;;;;
29,5833;0;0,591666667;0,016;6;10;6;;;;;;;;
29,8611;0;0,597222222;0,016;6;10;8;;;;;;;;
30,1389;0;0,602777778;0,008;4;10;2;;;;;;;;
30,2778;0;0,605555556;0,008;4;10;4;;;;;;;;
30,2778;0;0,605555556;0,008;4;10;6;;;;;;;;
30,4167;0;0,608333333;0,008;4;10;8;;;;;;;;
30,6944;0;0,613888889;0,016;6;10;10;;;;;;;;
30,8333;0;0,616666667;0,008;4;10;10;;;;;;;;
31,25;0;0,625;0,012;4;60;2;;;;;;;;
31,25;0;0,625;0,012;4;60;4;;;;;;;;
31,25;0;0,625;0,012;4;60;6;;;;;;;;
31,3889;0;0,627777778;0,012;4;50;2;;;;;;;;
31,3889;0;0,627777778;0,012;4;50;4;;;;;;;;
31,3889;0;0,627777778;0,012;4;50;6;;;;;;;;
31,3889;0;0,627777778;0,012;4;60;8;;;;;;;;
31,5278;0;0,630555556;0,012;4;30;2;;;;;;;;
31,5278;0;0,630555556;0,012;4;30;4;;;;;;;;
31,5278;0;0,630555556;0,012;4;30;6;;;;;;;;
31,5278;0;0,630555556;0,012;4;40;2;;;;;;;;
31,5278;0;0,630555556;0,012;4;40;4;;;;;;;;
31,5278;0;0,630555556;0,012;4;40;6;;;;;;;;
31,5278;0;0,630555556;0,012;4;50;8;;;;;;;;
31,6667;0;0,633333333;0,012;4;30;8;;;;;;;;
31,6667;0;0,633333333;0,012;4;40;8;;;;;;;;
31,9444;0;0,638888889;0,012;4;20;2;;;;;;;;
31,9444;0;0,638888889;0,012;4;20;4;;;;;;;;
31,9444;0;0,638888889;0,012;4;20;6;;;;;;;;
32,0833;0;0,641666667;0,012;4;20;8;;;;;;;;
32,0833;0;0,641666667;0,012;4;60;10;;;;;;;;
32,2222;0;0,644444444;0,012;4;50;10;;;;;;;;
32,3611;0;0,647222222;0,012;4;30;10;;;;;;;;
32,3611;0;0,647222222;0,012;4;40;10;;;;;;;;
32,7778;0;0,655555556;0,012;4;20;10;;;;;;;;
33,4722;0;0,669444444;0,016;4;20;2;;;;;;;;
33,4722;0;0,669444444;0,016;4;20;4;;;;;;;;
33,4722;0;0,669444444;0,016;4;20;6;;;;;;;;
33,4722;0;0,669444444;0,016;4;30;2;;;;;;;;
33,4722;0;0,669444444;0,016;4;30;4;;;;;;;;
33,4722;0;0,669444444;0,016;4;30;6;;;;;;;;
33,4722;0;0,669444444;0,016;4;40;2;;;;;;;;
33,4722;0;0,669444444;0,016;4;40;4;;;;;;;;
33,4722;0;0,669444444;0,016;4;40;6;;;;;;;;
33,4722;0;0,669444444;0,016;4;50;2;;;;;;;;
33,4722;0;0,669444444;0,016;4;50;4;;;;;;;;
33,4722;0;0,669444444;0,016;4;50;6;;;;;;;;
33,4722;0;0,669444444;0,016;4;60;2;;;;;;;;
33,4722;0;0,669444444;0,016;4;60;4;;;;;;;;
33,4722;0;0,669444444;0,016;4;60;6;;;;;;;;
33,6111;0;0,672222222;0,012;4;10;2;;;;;;;;
33,6111;0;0,672222222;0,012;4;10;4;;;;;;;;
33,6111;0;0,672222222;0,012;4;10;6;;;;;;;;
33,6111;0;0,672222222;0,016;4;20;8;;;;;;;;
33,6111;0;0,672222222;0,016;4;30;8;;;;;;;;
33,6111;0;0,672222222;0,016;4;40;8;;;;;;;;
33,6111;0;0,672222222;0,016;4;50;8;;;;;;;;
33,6111;0;0,672222222;0,016;4;60;8;;;;;;;;
33,75;0;0,675;0,012;4;10;8;;;;;;;;
34,0278;0;0,680555556;0,012;4;10;10;;;;;;;;
34,1667;0;0,683333333;0,016;4;20;10;;;;;;;;
34,1667;0;0,683333333;0,016;4;30;10;;;;;;;;
