EER;FMR;FNMR;THR;GDTHR;GAngTHR;MtiaCTHR;;;;;;;;
36,1111;0;0,722222222;0,016;6;60;4;;;;;;;;
36,1111;0;0,722222222;0,016;6;60;6;;;;;;;;
36,1111;0;0,722222222;0,016;6;60;8;;;;;;;;
36,1111;0;0,722222222;0,016;6;60;10;;;;;;;;
36,3889;0;0,727777778;0,008;4;20;8;;;;;;;;
36,3889;0;0,727777778;0,008;4;20;10;;;;;;;;
36,8056;0;0,736111111;0,016;6;10;2;;;;;;;;
36,8056;0;0,736111111;0,016;6;10;4;;;;;;;;
36,8056;0;0,736111111;0,016;6;10;6;;;;;;;;
36,8056;0;0,736111111;0,016;6;10;8;;;;;;;;
36,8056;0;0,736111111;0,016;6;10;10;;;;;;;;
36,9444;0;0,738888889;0,008;4;10;4;;;;;;;;
36,9444;0;0,738888889;0,008;4;10;6;;;;;;;;
37,0833;0;0,741666667;0,008;4;10;8;;;;;;;;
37,0833;0;0,741666667;0,008;4;10;10;;;;;;;;
37,5;0;0,75;0,012;4;20;8;;;;;;;;
37,5;0;0,75;0,012;4;20;10;;;;;;;;
37,5;0;0,75;0,012;4;30;8;;;;;;;;
37,5;0;0,75;0,012;4;30;10;;;;;;;;
37,5;0;0,75;0,012;4;40;8;;;;;;;;
37,5;0;0,75;0,012;4;40;10;;;;;;;;
37,5;0;0,75;0,012;4;50;8;;;;;;;;
37,5;0;0,75;0,012;4;50;10;;;;;;;;
37,5;0;0,75;0,012;4;60;8;;;;;;;;
37,5;0;0,75;0,012;4;60;10;;;;;;;;
38,0556;0;0,761111111;0,012;4;10;4;;;;;;;;
38,0556;0;0,761111111;0,012;4;10;6;;;;;;;;
38,0556;0;0,761111111;0,012;4;10;8;;;;;;;;
38,0556;0;0,761111111;0,012;4;10;10;;;;;;;;
38,1944;0;0,763888889;0,016;4;10;2;;;;;;;;
38,1944;0;0,763888889;0,016;4;10;4;;;;;;;;
38,1944;0;0,763888889;0,016;4;10;6;;;;;;;;
38,1944;0;0,763888889;0,016;4;10;8;;;;;;;;
38,1944;0;0,763888889;0,016;4;10;10;;;;;;;;
38,1944;0;0,763888889;0,016;4;20;2;;;;;;;;
38,1944;0;0,763888889;0,016;4;20;4;;;;;;;;
38,1944;0;0,763888889;0,016;4;20;6;;;;;;;;
38,1944;0;0,763888889;0,016;4;20;8;;;;;;;;
38,1944;0;0,763888889;0,016;4;20;10;;;;;;;;
38,1944;0;0,763888889;0,016;4;30;2;;;;;;;;
38,1944;0;0,763888889;0,016;4;30;4;;;;;;;;
38,1944;0;0,763888889;0,016;4;30;6;;;;;;;;
38,1944;0;0,763888889;0,016;4;30;8;;;;;;;;
38,1944;0;0,763888889;0,016;4;30;10;;;;;;;;
38,1944;0;0,763888889;0,016;4;40;2;;;;;;;;
38,1944;0;0,763888889;0,016;4;40;4;;;;;;;;
38,1944;0;0,763888889;0,016;4;40;6;;;;;;;;
38,1944;0;0,763888889;0,016;4;40;8;;;;;;;;
