EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount;;;;;;;;;;;
29,7222;0;0,594444444;0,04;12;50;8;50;12;;;;;;;;;;;
29,8611;0;0,597222222;0,02;12;50;4;50;8;;;;;;;;;;;
30;0;0,6;0,02;4;30;4;50;4;;;;;;;;;;;
30;0;0,6;0,02;12;30;4;50;8;;;;;;;;;;;
30;0;0,6;0,02;4;50;4;50;4;;;;;;;;;;;
30;0;0,6;0,03;8;10;4;30;4;;;;;;;;;;;
30;0;0,6;0,03;12;50;4;50;8;;;;;;;;;;;
30;0;0,6;0,04;4;30;12;50;4;;;;;;;;;;;
30;0;0,6;0,04;4;50;12;50;4;;;;;;;;;;;
30,1389;0;0,602777778;0,03;8;10;12;50;8;;;;;;;;;;;
30,1389;0;0,602777778;0,03;12;30;4;50;8;;;;;;;;;;;
30,1389;0;0,602777778;0,04;12;50;4;50;8;;;;;;;;;;;
30,2778;0;0,605555556;0,02;4;10;8;50;4;;;;;;;;;;;
30,2778;0;0,605555556;0,02;4;10;12;30;4;;;;;;;;;;;
30,2778;0;0,605555556;0,02;4;30;4;30;4;;;;;;;;;;;
30,2778;0;0,605555556;0,02;12;30;12;30;12;;;;;;;;;;;
30,2778;0;0,605555556;0,02;4;50;4;30;4;;;;;;;;;;;
30,2778;0;0,605555556;0,02;12;50;12;30;12;;;;;;;;;;;
30,2778;0;0,605555556;0,03;12;30;12;30;12;;;;;;;;;;;
30,2778;0;0,605555556;0,03;12;50;12;30;12;;;;;;;;;;;
30,2778;0;0,605555556;0,04;8;10;4;50;4;;;;;;;;;;;
30,2778;0;0,605555556;0,04;12;30;4;50;8;;;;;;;;;;;
30,2778;0;0,605555556;0,04;12;30;12;30;12;;;;;;;;;;;
30,2778;0;0,605555556;0,04;12;50;12;30;12;;;;;;;;;;;
30,5556;0;0,611111111;0,02;4;10;8;30;4;;;;;;;;;;;
30,5556;0;0,611111111;0,02;8;10;8;50;8;;;;;;;;;;;
30,6944;0;0,613888889;0,03;8;10;8;50;8;;;;;;;;;;;
30,8333;0;0,616666667;0,04;8;10;12;50;8;;;;;;;;;;;
30,8333;0;0,616666667;0,04;4;30;12;30;4;;;;;;;;;;;
30,8333;0;0,616666667;0,04;4;50;12;30;4;;;;;;;;;;;
30,9722;0;0,619444444;0,02;8;10;12;30;8;;;;;;;;;;;
30,9722;0;0,619444444;0,03;8;10;12;30;8;;;;;;;;;;;
30,9722;0;0,619444444;0,04;8;10;4;30;4;;;;;;;;;;;
30,9722;0;0,619444444;0,04;4;50;8;50;4;;;;;;;;;;;
31,1111;0;0,622222222;0,02;8;50;4;50;8;;;;;;;;;;;
31,1111;0;0,622222222;0,03;8;50;4;50;8;;;;;;;;;;;
31,1111;0;0,622222222;0,04;8;10;12;30;8;;;;;;;;;;;
31,1111;0;0,622222222;0,04;4;30;8;50;4;;;;;;;;;;;
31,25;0;0,625;0,02;8;10;8;30;8;;;;;;;;;;;
31,25;0;0,625;0,02;8;30;4;50;8;;;;;;;;;;;
31,25;0;0,625;0,02;12;30;8;30;12;;;;;;;;;;;
31,25;0;0,625;0,02;12;50;8;30;12;;;;;;;;;;;
31,25;0;0,625;0,03;8;10;8;30;8;;;;;;;;;;;
31,25;0;0,625;0,03;8;30;4;50;8;;;;;;;;;;;
31,25;0;0,625;0,03;12;30;8;30;12;;;;;;;;;;;
31,25;0;0,625;0,03;12;50;8;30;12;;;;;;;;;;;
31,25;0;0,625;0,04;8;10;8;50;8;;;;;;;;;;;
31,25;0;0,625;0,04;4;30;8;30;4;;;;;;;;;;;
31,25;0;0,625;0,04;12;30;8;30;12;;;;;;;;;;;
31,25;0;0,625;0,04;4;50;8;30;4;;;;;;;;;;;
31,25;0;0,625;0,04;12;50;8;30;12;;;;;;;;;;;
31,3889;0;0,627777778;0,04;8;10;8;30;8;;;;;;;;;;;
31,3889;0;0,627777778;0,04;8;30;4;50;8;;;;;;;;;;;
31,3889;0;0,627777778;0,04;8;50;4;50;8;;;;;;;;;;;
31,6667;0;0,633333333;0,02;8;30;12;50;12;;;;;;;;;;;
31,6667;0;0,633333333;0,02;12;30;4;30;8;;;;;;;;;;;
31,6667;0;0,633333333;0,02;8;50;12;50;12;;;;;;;;;;;
31,6667;0;0,633333333;0,02;12;50;4;30;8;;;;;;;;;;;
31,6667;0;0,633333333;0,03;4;30;4;50;4;;;;;;;;;;;
31,6667;0;0,633333333;0,03;8;30;12;50;12;;;;;;;;;;;
31,6667;0;0,633333333;0,03;12;30;4;30;8;;;;;;;;;;;
31,6667;0;0,633333333;0,03;4;50;4;50;4;;;;;;;;;;;
31,6667;0;0,633333333;0,03;8;50;12;50;12;;;;;;;;;;;
31,6667;0;0,633333333;0,03;12;50;4;30;8;;;;;;;;;;;
31,6667;0;0,633333333;0,04;8;30;12;50;12;;;;;;;;;;;
31,6667;0;0,633333333;0,04;12;30;4;30;8;;;;;;;;;;;
31,6667;0;0,633333333;0,04;8;50;12;50;12;;;;;;;;;;;
31,6667;0;0,633333333;0,04;12;50;4;30;8;;;;;;;;;;;
32,3611;0;0,647222222;0,02;8;30;4;30;8;;;;;;;;;;;
32,3611;0;0,647222222;0,02;8;30;8;50;12;;;;;;;;;;;
32,3611;0;0,647222222;0,02;8;50;4;30;8;;;;;;;;;;;
32,3611;0;0,647222222;0,02;8;50;8;50;12;;;;;;;;;;;
32,3611;0;0,647222222;0,03;4;10;12;50;4;;;;;;;;;;;
32,3611;0;0,647222222;0,03;4;30;4;30;4;;;;;;;;;;;
32,3611;0;0,647222222;0,03;8;30;4;30;8;;;;;;;;;;;
32,3611;0;0,647222222;0,03;8;30;8;50;12;;;;;;;;;;;
